product_id,name,category,price,supplier,stock
1,NovaShield Enterprise v1.0,On-Premise Software,28700.0,Hardware Vendor 2,113
2,NovaData Core v2.0,SaaS Subscription,139600.0,AI_OOPS Internal Systems,999999
3,NovaQuery Pro v3.0,Hardware Node,89600.0,Hardware Vendor 1,23
4,NovaVision API v4.0,Professional Services,111100.0,AI_OOPS Internal Systems,999999
5,NovaLink Router v5.0,On-Premise Software,132500.0,Hardware Vendor 3,137
6,NovaCloud Platform v6.0,Hardware Node,15500.0,Hardware Vendor 1,62
7,NovaSearch Engine v7.0,On-Premise Software,117400.0,Hardware Vendor 2,43
8,NovaML Toolkit v8.0,On-Premise Software,94700.0,Hardware Vendor 3,188
9,NovaVault Secures v9.0,Hardware Node,29800.0,Hardware Vendor 1,17
10,NovaCompute Node v10.0,Professional Services,37400.0,AI_OOPS Internal Systems,999999
11,NovaSync Daemon v11.0,On-Premise Software,117800.0,Hardware Vendor 3,13
12,NovaFlow Orchestrator v12.0,Hardware Node,24000.0,Hardware Vendor 1,67
13,NovaGraph Analyzer v13.0,SaaS Subscription,99500.0,AI_OOPS Internal Systems,999999
14,NovaOps Console v14.0,SaaS Subscription,137600.0,AI_OOPS Internal Systems,999999
15,NovaEdge Gateway v15.0,Professional Services,107000.0,AI_OOPS Internal Systems,999999
16,NovaShield Enterprise v16.0,On-Premise Software,109200.0,Hardware Vendor 2,190
17,NovaData Core v17.0,On-Premise Software,90000.0,Hardware Vendor 3,133
18,NovaQuery Pro v18.0,Hardware Node,54900.0,Hardware Vendor 1,126
19,NovaVision API v19.0,Professional Services,83500.0,AI_OOPS Internal Systems,999999
20,NovaLink Router v20.0,Professional Services,127700.0,AI_OOPS Internal Systems,999999
21,NovaCloud Platform v21.0,Professional Services,19200.0,AI_OOPS Internal Systems,999999
22,NovaSearch Engine v22.0,On-Premise Software,89900.0,Hardware Vendor 2,97
23,NovaML Toolkit v23.0,On-Premise Software,5500.0,Hardware Vendor 3,82
24,NovaVault Secures v24.0,On-Premise Software,125200.0,Hardware Vendor 1,158
25,NovaCompute Node v25.0,Hardware Node,35400.0,Hardware Vendor 2,124
26,NovaSync Daemon v26.0,Hardware Node,75600.0,Hardware Vendor 3,95
27,NovaFlow Orchestrator v27.0,Hardware Node,98200.0,Hardware Vendor 1,92
28,NovaGraph Analyzer v28.0,Professional Services,147800.0,AI_OOPS Internal Systems,999999
29,NovaOps Console v29.0,Professional Services,122100.0,AI_OOPS Internal Systems,999999
30,NovaEdge Gateway v30.0,Hardware Node,52800.0,Hardware Vendor 1,115
31,NovaShield Enterprise v31.0,SaaS Subscription,70100.0,AI_OOPS Internal Systems,999999
32,NovaData Core v32.0,Hardware Node,149400.0,Hardware Vendor 3,107
33,NovaQuery Pro v33.0,Hardware Node,140900.0,Hardware Vendor 1,176
34,NovaVision API v34.0,Professional Services,106400.0,AI_OOPS Internal Systems,999999
35,NovaLink Router v35.0,SaaS Subscription,30800.0,AI_OOPS Internal Systems,999999
36,NovaCloud Platform v36.0,On-Premise Software,25500.0,Hardware Vendor 1,122
37,NovaSearch Engine v37.0,SaaS Subscription,112700.0,AI_OOPS Internal Systems,999999
38,NovaML Toolkit v38.0,Hardware Node,8100.0,Hardware Vendor 3,194
39,NovaVault Secures v39.0,Professional Services,88900.0,AI_OOPS Internal Systems,999999
40,NovaCompute Node v40.0,Professional Services,20300.0,AI_OOPS Internal Systems,999999
